created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Feb 15 04:21:09 +0000 2024;1,75798E+18;02. Sansoe Lignum (rekomendasi tasya farasya wanginya kaya parfum jutaan ) ✨  Link parfum https://t.co/ld8FpBRtdK  ✨ Rating 5 ✨ https://t.co/pGsHKFu7Zy;0;1;12;110;in;1,21204E+18;1,75798E+18;reviewhaul;https://twitter.com/reviewhaul/status/1757983358431457495
Thu Feb 15 04:09:04 +0000 2024;1,75798E+18;*menunggu maskara baru hasil terjangkit racun tasya farasya dengan penuh kesabaran*;0;0;0;0;in;69198645;1,75798E+18;andinamitaa;https://twitter.com/andinamitaa/status/1757980317892378786
Thu Feb 15 03:19:21 +0000 2024;1,75797E+18;Spray ajaib! Bisa mencegah keputihan, anyang-anyangan &amp  mencegah infeksi salurah kemih. Tau ini dari Tasya Farasya yang juga pake Filmore Spritz   link : https://t.co/i9roNNxRO9 https://t.co/fI2DGfnViF;0;1;0;1;in;1,568E+18;1,75797E+18;diarylifehack;https://twitter.com/diarylifehack/status/1757967806770077899
Thu Feb 15 02:59:12 +0000 2024;1,75796E+18;@ohmybeautybank +tahan lama, bervolume bgt kl di gue ngangkat bulu mata seharian, murah cm 80an kl ga salah, tasya farasya approved wkt itu makanya gue beli&amp ternyata emg bagus😭 -dibersihinnya rada effort harus pake cleansing oil, rada menggumpal, makenya harus pelan2 biar hasilnya ga gumpal https://t.co/kuRlDp0BKw;0;0;0;0;in;1,12412E+18;1,75795E+18;Cheeshacake;https://twitter.com/Cheeshacake/status/1757962735936274478
Thu Feb 15 02:53:12 +0000 2024;1,75796E+18;@ohmybeautybank Aku pake wonderlux yang warna ijo rekomendasi tasya farasya beneran numbuh rambutnya. Belum tebel bgt tapi udh keliatan makin banyak rambut2 kecil. Terus aku jg bikin sendiri minyak kemiri. Beneran skrg makin bannyak yg numbuh. Selain itu minum vit d+berjemur;0;0;0;1;in;7,38367E+17;1,75795E+18;calatheatisue;https://twitter.com/calatheatisue/status/1757961228679598286
Thu Feb 15 02:41:30 +0000 2024;1,75796E+18;Ada yang tau ndak sih Tasya Farasya diajak surprise holiday kemana ??? Menanti updateannya terakhir kemaren transit sg sih 🤣;0;0;0;0;in;60112136;1,75796E+18;aWedhe;https://twitter.com/aWedhe/status/1757958284605325438
Thu Feb 15 02:00:54 +0000 2024;1,75795E+18;Cek [TASYA FARASYA APPROVED] SOMETHINC Calm Down! Skinpair R-Cover Cream Moisturizer - (Madagascar Centella Asiatica, Skin Barrier, Kulit Sensitif, Kulit Iritasi) dengan harga Rp129.000. Dapatkan di Shopee sekarang! https://t.co/10K3IbAirP https://t.co/OOiE4Ytwaj;0;0;0;1;in;1,55974E+18;1,75795E+18;JeonGi77;https://twitter.com/JeonGi77/status/1757948063510036867
Thu Feb 15 01:52:06 +0000 2024;1,75795E+18;"Menunggu updatan memong yg dibawa kabur sama baba entah kemana... Tasya farasya update story napa :)""";0;0;0;1;in;1,56684E+18;1,75795E+18;miss8788;https://twitter.com/miss8788/status/1757945852205945214
Thu Feb 15 00:40:46 +0000 2024;1,75793E+18;@ohmybeautybank somethinc yg tipsy nder. tasya farasya approved;0;0;0;0;in;1,48214E+18;1,75778E+18;prilycaan;https://twitter.com/prilycaan/status/1757927900760997974
Wed Feb 14 18:24:22 +0000 2024;1,75783E+18;Refresh2 beranda ig nungguin story tasya farasya diculik di negara mana🥲😂;0;0;0;0;in;2188342068;1,75783E+18;frdrsk;https://twitter.com/frdrsk/status/1757833173688586457
Wed Feb 14 17:30:02 +0000 2024;1,75782E+18;@ohmybeautybank Oriflame, waktu itu diskon di katalog jadi 50rb The real super duper waterproof, smudgeproof, tegak on point selalu always🫡 sama satu lagi ertos udah tasya farasya approved itu juga mantul yg warna pink kemasan nya https://t.co/e8zIGbduqx;0;1;0;1;in;236781858;1,75778E+18;dimacyaan;https://twitter.com/dimacyaan/status/1757819502753165590
Wed Feb 14 13:33:48 +0000 2024;1,75776E+18;Baba Ahmad nya Tasya Farasya juga👌🏻;0;0;0;0;in;144017718;1,75776E+18;fikasilviana;https://twitter.com/fikasilviana/status/1757760050322702632
Wed Feb 14 11:46:19 +0000 2024;1,75773E+18;LIP CREAM✨️ aku rekomendasi bgtt shade 18 buat obre juga masih cakep bgtt..tipe yang matte di bibir tapi gak bikin KERING, tasya farasya approved pulakkk, Yang paling Keren ADA SPF 20 PA++ https://t.co/0wlFOP39eX https://t.co/0cIHPAVeU2;0;0;0;0;in;1,66265E+18;1,75773E+18;r59007;https://twitter.com/r59007/status/1757733003428839706
Wed Feb 14 11:31:26 +0000 2024;1,75773E+18;@viveeyyy @svecoz Padahal tasya farasya approve bukan yang itu 😔;0;1;0;0;in;47877658;1,75772E+18;snoozerrrr;https://twitter.com/snoozerrrr/status/1757729257219092587
Wed Feb 14 11:17:36 +0000 2024;1,75773E+18;@sbmptnfess Ini Tasya farasya approved ga ka;0;0;0;0;in;1,5702E+18;1,75771E+18;enchantinghira;https://twitter.com/enchantinghira/status/1757725773430157418
Wed Feb 14 11:11:31 +0000 2024;1,75772E+18;tadi pas buka kertas capres cawapres kok gaada tulisan tasya farasya approved yah pdhl kalo ada beneran mau ku abadikan;0;0;0;0;in;1,58615E+18;1,75772E+18;mencariadam;https://twitter.com/mencariadam/status/1757724242748289064
Wed Feb 14 10:49:07 +0000 2024;1,75772E+18;@kegblgnunfaedh Tasya farasya approvednya manaaa 🤣🤣🤣;0;0;0;0;in;296687786;1,75768E+18;muhammadkhoiri1;https://twitter.com/muhammadkhoiri1/status/1757718607650513226
Wed Feb 14 08:22:12 +0000 2024;1,75768E+18;@tanyakanrl gw pake mua tasya farasya nder;0;0;0;0;in;9,45578E+17;1,7576E+18;tidakcerdik;https://twitter.com/tidakcerdik/status/1757681632667140355
Wed Feb 14 08:05:26 +0000 2024;1,75768E+18;Intip 5 Gaya Seleb Datang ke TPS, Ada Nana Mirdad &amp  Tasya Farasya https://t.co/yoHWgpKUrf;0;0;0;0;in;8,64335E+17;1,75768E+18;haibundacom;https://twitter.com/haibundacom/status/1757677415289991271
Wed Feb 14 06:57:54 +0000 2024;1,75766E+18;Tasya farasya diculik kemana woi sama babaa wkwkwk ikut deg-degan udh 3jam gaada kabar😩🤣🙏;0;0;0;0;in;9,57952E+17;1,75766E+18;wiuwiuwww;https://twitter.com/wiuwiuwww/status/1757660419144159313
